SourceRow;WorkerID;RawPrefix;PrefixASCII;n;X;Parity;Const;Y;Trailing;Mode;ActualTail;CalcTail;Result;FirstDiffPos;ActualAtDiff;CalcAtDiff;ActualLen;CalcLen;;SOUHRN V2;;;
125;V100000101;40;40;2;30;0I0I0H;222;35;0;NORMAL;1J0I0U0I0I0H660Z0;1J0I0U0I0I0H660Z0;OK;;;;17;17;;;;;
126;WI8YJ00101;140;40;5;21;0I0I0H;219;23;0;NORMAL;1K160P1M170L0I0I0H630N0;1K160P1M170L0I0I0H630N0;OK;;;;23;23;;;;;
127;1DC0000101;41;41;3;80;0I0H0I;221;84;;NORMAL;0I1110280I0H0I652C;0I1110280I0H0I652C;OK;;;;18;18;;;;;
128;1EB0000101;41;41;3;80;0I0H0I;221;84;;NORMAL;0I120Z280I0H0I652C;0I120Z280I0H0I652C;OK;;;;18;18;;;;;
129;1FA0000101;41;41;3;80;0I0H0I;221;84;;NORMAL;0I130Y280I0H0I652C;0I130Y280I0H0I652C;OK;;;;18;18;;;;;
130;1N90000101;41;41;3;80;0I0H0I;221;84;;NORMAL;0I1B0Q280I0H0I652C;0I1B0Q280I0H0I652C;OK;;;;18;18;;;;;
131;1P70000101;41;41;3;80;0I0H0I;221;84;;NORMAL;0I1D0O280I0H0I652C;0I1D0O280I0H0I652C;OK;;;;18;18;;;;;
132;1Q60000101;41;41;3;80;0I0H0I;221;84;;NORMAL;0I1E0N280I0H0I652C;0I1E0N280I0H0I652C;OK;;;;18;18;;;;;
133;1R50000101;41;41;3;80;0I0H0I;221;84;;NORMAL;0I1F0M280I0H0I652C;0I1F0M280I0H0I652C;OK;;;;18;18;;;;;
134;1U20000101;41;41;3;80;0I0H0I;221;84;;NORMAL;0I1I0J280I0H0I652C;0I1I0J280I0H0I652C;OK;;;;18;18;;;;;
135;1W00000101;41;41;2;31;0I0H0I;222;36;0;NORMAL;0I1K0V0I0H0I66100;0I1K0V0I0H0I66100;OK;;;;17;17;;;;;
136;2BD0000101;41;41;3;80;0I0H0I;221;84;;NORMAL;0J0Z11280I0H0I652C;0J0Z11280I0H0I652C;OK;;;;18;18;;;;;
137;2N80000101;41;41;3;80;0I0H0I;221;84;;NORMAL;0J1B0P280I0H0I652C;0J1B0P280I0H0I652C;OK;;;;18;18;;;;;
138;2P60000101;41;41;3;80;0I0H0I;221;84;;NORMAL;0J1D0N280I0H0I652C;0J1D0N280I0H0I652C;OK;;;;18;18;;;;;
139;2T20000101;41;41;3;80;0I0H0I;221;84;;NORMAL;0J1H0J280I0H0I652C;0J1H0J280I0H0I652C;OK;;;;18;18;;;;;
140;4S10000101;41;41;3;80;0I0H0I;221;84;;NORMAL;0L1G0I280I0H0I652C;0L1G0I280I0H0I652C;OK;;;;18;18;;;;;
141;6L60000101;41;41;3;80;0I0H0I;221;84;;NORMAL;0N190N280I0H0I652C;0N190N280I0H0I652C;OK;;;;18;18;;;;;
142;6UOXJ00101;141;41;5;22;0I0H0I;219;24;0;NORMAL;0N1I1C1L170M0I0H0I630O0;0N1I1C1L170M0I0H0I630O0;OK;;;;23;23;;;;;
143;9UQSJ00101;141;41;5;22;0I0H0I;219;24;0;NORMAL;0Q1I1E1G170M0I0H0I630O0;0Q1I1E1G170M0I0H0I630O0;OK;;;;23;23;;;;;
144;IWEMJ00101;141;41;5;22;0I0H0I;219;24;0;NORMAL;161K121A170M0I0H0I630O0;161K121A170M0I0H0I630O0;OK;;;;23;23;;;;;
145;LHEYJ00101;141;41;5;22;0I0H0I;219;24;0;NORMAL;1915121M170M0I0H0I630O0;1915121M170M0I0H0I630O0;OK;;;;23;23;;;;;
146;OBPQJ00101;141;41;5;22;0I0H0I;219;24;0;NORMAL;1C0Z1D1E170M0I0H0I630O0;1C0Z1D1E170M0I0H0I630O0;OK;;;;23;23;;;;;
147;T3YRJ00101;141;41;5;22;0I0H0I;219;24;0;NORMAL;1H0K1M1F170M0I0H0I630O0;1H0K1M1F170M0I0H0I630O0;OK;;;;23;23;;;;;
148;V200000101;41;41;2;31;0I0H0I;222;36;0;NORMAL;1J0J0V0I0H0I66100;1J0J0V0I0H0I66100;OK;;;;17;17;;;;;
149;1DD0000101;42;42;3;81;0I0I0H;221;85;;NORMAL;0I1111290I0I0H652D;0I1111290I0I0H652D;OK;;;;18;18;;;;;
150;1EC0000101;42;42;3;81;0I0I0H;221;85;;NORMAL;0I1210290I0I0H652D;0I1210290I0I0H652D;OK;;;;18;18;;;;;
151;1GA0000101;42;42;3;81;0I0I0H;221;85;;NORMAL;0I140Y290I0I0H652D;0I140Y290I0I0H652D;OK;;;;18;18;;;;;
152;1O90000101;42;42;3;81;0I0I0H;221;85;;NORMAL;0I1C0Q290I0I0H652D;0I1C0Q290I0I0H652D;OK;;;;18;18;;;;;
153;1P80000101;42;42;3;81;0I0I0H;221;85;;NORMAL;0I1D0P290I0I0H652D;0I1D0P290I0I0H652D;OK;;;;18;18;;;;;
154;1Q70000101;42;42;3;81;0I0I0H;221;85;;NORMAL;0I1E0O290I0I0H652D;0I1E0O290I0I0H652D;OK;;;;18;18;;;;;
155;1R60000101;42;42;3;81;0I0I0H;221;85;;NORMAL;0I1F0N290I0I0H652D;0I1F0N290I0I0H652D;OK;;;;18;18;;;;;
156;1S50000101;42;42;3;81;0I0I0H;221;85;;NORMAL;0I1G0M290I0I0H652D;0I1G0M290I0I0H652D;OK;;;;18;18;;;;;
157;1U30000101;42;42;3;81;0I0I0H;221;85;;NORMAL;0I1I0K290I0I0H652D;0I1I0K290I0I0H652D;OK;;;;18;18;;;;;
158;2FA0000101;42;42;3;81;0I0I0H;221;85;;NORMAL;0J130Y290I0I0H652D;0J130Y290I0I0H652D;OK;;;;18;18;;;;;
159;2P70000101;42;42;3;81;0I0I0H;221;85;;NORMAL;0J1D0O290I0I0H652D;0J1D0O290I0I0H652D;OK;;;;18;18;;;;;
160;2V10000101;42;42;3;81;0I0I0H;221;85;;NORMAL;0J1J0I290I0I0H652D;0J1J0I290I0I0H652D;OK;;;;18;18;;;;;
161;5S10000101;42;42;3;81;0I0I0H;221;85;;NORMAL;0M1G0I290I0I0H652D;0M1G0I290I0I0H652D;OK;;;;18;18;;;;;
162;U3YRJ00101;142;42;5;23;0I0I0H;219;25;0;NORMAL;1I0K1M1F170N0I0I0H630P0;1I0K1M1F170N0I0I0H630P0;OK;;;;23;23;;;;;
